#IC86events[1/year]	sigpSI[pb]	sigpSD[pb]	sig*v[cm^3/s]	mdm[GeV]	DM[Fermion|Scalar]
1.8927e-04 1.9727e-09 1.7112e-06 4.0490e-31 1.3475e+02 F
7.3057e-03 9.1763e-11 1.7087e-07 9.1202e-27 1.1017e+03 F
3.7159e-08 2.8840e-13 3.0442e-10 7.0027e-27 1.2157e+03 F
4.1090e+02 1.6676e-08 2.3302e-03 2.4190e-27 1.0897e+02 F
3.0205e+01 5.6938e-09 2.2130e-03 4.0058e-28 6.7675e+01 F
2.4124e-11 5.1281e-15 7.3579e-12 8.6009e-27 1.0960e+03 F
3.5448e-06 1.5987e-13 5.0765e-09 9.1618e-27 1.0624e+03 F
9.9363e+00 8.4065e-08 4.2443e-03 7.9759e-28 2.3329e+01 F
7.4925e-05 1.1342e-11 0.0000e+00 6.8935e-26 1.6788e+03 S
1.8078e-06 1.5226e-12 0.0000e+00 7.4856e-26 1.6076e+03 S
2.3830e-15 8.7712e-17 3.1280e-14 8.0129e-27 1.1359e+03 F
1.6181e+01 4.1997e-09 1.0257e-04 2.3669e-26 2.8811e+02 F
1.7872e+01 1.1557e-08 1.3549e-04 1.8138e-26 1.9326e+02 F
3.4209e+00 2.5706e-08 2.1254e-05 1.5246e-26 9.8611e+02 F
4.7120e-06 1.3383e-12 3.6771e-09 9.9366e-27 1.0187e+03 F
